instrumentName,InstrumentToken
3MINDIA,891
AARTIDRUGS,717
AAVAS,109230
ABB,720
ABBOTINDIA,904
ABCAPITAL,21078
ABFRL,11691
ABSLAMC,24427
ACC,727
ADANIENT,729
ADANIGREEN,14443
ADANIPORTS,9077
ADANITRANS,14878
ADVENZYMES,76572
AEGISCHEM,734
AFFLE,13693
AIAENG,7667
AJANTPHARM,2964
ALKEM,13482
ALKYLAMINE,750
ALLCARGO,8144
ALOKINDS,2283
AMARAJABAT,755
AMBER,88290
AMBUJACEM,1230
ANGELONE,12962
ANURAS,11968
APLAPOLLO,8355
APLLTD,10949
APOLLOHOSP,775
APOLLOTYRE,421
APTUS,12824
ASAHIINDIA,215
ASHOKLEY,790
ASIANPAINT,797
ASTERDM,72378
ASTRAL,8688
ASTRAZEN,804
ATGL,113066
ATUL,813
AUBANK,99043
AUROPHARMA,815
AXISBANK,2302
BAJAJ-AUTO,9336
BAJAJELEC,4323
BAJAJFINSV,9339
BAJAJHLDNG,828
BAJFINANCE,832
BALAMINES,5952
BALKRISIND,840
BALRAMCHIN,843
BANDHANBNK,41509
BANKBARODA,847
BANKINDIA,850
BASF,438
BATAINDIA,858
BAYERCROP,862
BBTC,866
BCG,66988
BDL,29632
BEL,440
BERGEPAINT,870
BHARATFORG,876
BHARTIARTL,3877
BHEL,878
BIOCON,4028
BIRLACORPN,279
BLUEDART,897
BLUESTARCO,2693
BORORENEW,24483
BOSCHLTD,1591
BPCL,907
BRIGADE,9164
BRITANNIA,919
BSE,73260
BSOFT,3101
CAMS,799
CANBK,3910
CANFINHOME,932
CARBORUNIV,455
CASTROLIND,941
CCL,4061
CDSL,6829
CEATLTD,947
CENTRALBK,8922
CENTURYPLY,6656
CENTURYTEX,953
CERA,6611
CESC,955
CGCL,7120
CGPOWER,1015
CHALET,12198
CHAMBLFERT,960
CHEMPLASTS,962
CHOLAFIN,972
CHOLAHLDNG,674
CIPLA,979
CLEAN,26263
COALINDIA,10512
COCHINSHIP,14504
COFORGE,4109
COLPAL,993
CONCOR,159
COROMANDEL,1002
CREDITACC,11782
CRISIL,1012
CROMPTON,12881
CSBBANK,11838
CUB,2240
CUMMINSIND,1495
CYIENT,2251
DABUR,1019
DALBHARAT,85758
DBL,12067
DCMSHRIRAM,1030
DEEPAKNTR,1038
DELTACORP,8781
DEVYANI,31169
DHANI,9295
DIVISLAB,3924
DIXON,14976
DLF,8848
DMART,24886
DRREDDY,1055
EASEMYTRIP,19354
ECLERX,9160
EDELWEISS,9124
EICHERMOT,1067
EIDPARRY,1070
EIHOTEL,1073
ELGIEQUIP,1081
EMAMILTD,6011
ENDURANCE,13209
ENGINERSIN,66
EPL,1111
EQUITAS,11742
EQUITASBNK,78669
ERIS,11788
ESCORTS,1099
EXIDEIND,968
FACT,163
FDC,1123
FEDERALBNK,1127
FINCABLES,1131
FINEORG,84722
FINPIPE,1134
FLUOROCHEM,13726
FORTIS,8750
FSL,8579
GAEL,3407
GAIL,1150
GALAXYSURF,11950
GARFIBRES,483
GESHIP,1171
GICRE,1907
GLAND,13099
GLAXO,1183
GLENMARK,3051
GLS,16684
GMRINFRA,8185
GNFC,1200
GOCOLORS,7909
GODFRYPHLP,492
GODREJAGRO,14548
GODREJCP,3824
GODREJIND,3918
GODREJPROP,10058
GPPL,10405
GRANULES,6632
GRAPHITE,936
GRASIM,1212
GRINDWELL,1217
GRINFRA,37526
GSFC,1220
GSPL,7770
GUJALKALI,1227
GUJGASLTD,12646
HAL,6821
HAPPSTMNDS,21294
HATHWAY,10176
HATSUN,214855
