Symbol,InstrumentToken,TradingSymbol,Token,Insert_Token
3MINDIA,891,3MINDIA-EQ,474,NSE|474
AARTIDRUGS,717,AARTIDRUGS-EQ,4481,NSE|4481
AAVAS,109230,AAVAS-EQ,5385,NSE|5385
ABB,720,ABB-EQ,13,NSE|13
ABBOTINDIA,904,ABBOTINDIA-EQ,17903,NSE|17903
ABCAPITAL,21078,ABCAPITAL-EQ,21614,NSE|21614
ABFRL,11691,ABFRL-EQ,30108,NSE|30108
ABSLAMC,24427,ABSLAMC-EQ,6018,NSE|6018
ACC,727,ACC-EQ,22,NSE|22
ADANIENT,729,ADANIENT-EQ,25,NSE|25
ADANIGREEN,14443,ADANIGREEN-EQ,3563,NSE|3563
ADANIPORTS,9077,ADANIPORTS-EQ,15083,NSE|15083
ADANITRANS,14878,ADANITRANS-EQ,10217,NSE|10217
ADVENZYMES,76572,ADVENZYMES-EQ,18039,NSE|18039
AEGISCHEM,734,AEGISCHEM-EQ,40,NSE|40
AFFLE,13693,AFFLE-EQ,11343,NSE|11343
AIAENG,7667,AIAENG-EQ,13086,NSE|13086
AJANTPHARM,2964,AJANTPHARM-EQ,8124,NSE|8124
ALKEM,13482,ALKEM-EQ,11703,NSE|11703
ALKYLAMINE,750,ALKYLAMINE-EQ,4487,NSE|4487
ALLCARGO,8144,ALLCARGO-EQ,13501,NSE|13501
ALOKINDS,2283,ALOKINDS-EQ,17665,NSE|17665
AMARAJABAT,755,AMARAJABAT-EQ,100,NSE|100
AMBER,88290,AMBER-EQ,1185,NSE|1185
AMBUJACEM,1230,AMBUJACEM-EQ,1270,NSE|1270
ANGELONE,12962,ANGELONE-EQ,324,NSE|324
ANURAS,11968,ANURAS-EQ,2829,NSE|2829
APLAPOLLO,8355,APLAPOLLO-EQ,25780,NSE|25780
APLLTD,10949,APLLTD-EQ,25328,NSE|25328
APOLLOHOSP,775,APOLLOHOSP-EQ,157,NSE|157
APOLLOTYRE,421,APOLLOTYRE-EQ,163,NSE|163
